Question,Answer,Class
ሰላም,ሰላማት ምን ላግዛቹ,ሰላምታ
እንዴት ነህ?,ሰላም ምን ላግዝህ/ሽ,ሰላምታ
ሰላም ነው?,ሰላም,ሰላምታ
ሃይ,ሰላም ምን ልርዳህ/ሽ,ሰላምታ
ሰላማት,ምን ልተባበር,ሰላምታ
ደና ነህ,ሰላማት ምን ላግዛቹ,ሰላምታ
ደህና ዋልክ,ሰላም,ሰላምታ
ደና ኣደርክ,ሰላም,ሰላምታ
ምህንድስና ከተማርኩ በኅላ ከዚያ ምህንድስና ዲግሪ ተጨማሪ ምን መስራት እችላለሁ?,የሚፈልጉትን ማንኛውንም ማድረግ ይችላሉ ፡፡ ከሁሉም ክፍሎች የሚመሩ የምህንድስና ተመራቂዎች እንደ የኢንቨስትሜሽን ባንኪንግ ፣ የማኔጅመንት አማካሪ ፣ የሕግ ፣ የመድኃኒት ፣ የማስተማር ፣ የሙያዊ ስፖርት ፣ የውትድርና አገልግሎት እና ሌሎች ሊሰሩበት ስለሚችሉት ማንኛውም ሙያ መስክ ይመርጣሉ ፡፡,ጠቅላላ
ስለ ምህንድስና ምንም ማውቀው ነገር የለም እና የበለጠ ኢንፎርመሽን ንገረኝ,,ጠቅላላ
አማካሪ ይመደብልኛል?,አዎ! እያንዳንዱ ተማሪ በዲፓርትመንት(አካዳሚክ) ክፍሉ ውስጥ ለአንድ ሰራተኛ አባል ይመደባል። የተመደበ አማካሪ(አድቫይዘር) ለተማሪው ለትምህርቱ እና ለሌሎች ማህበራዊ ጉዳዮች በማስተዋል ፣ በቅንነት እና በጥብቅ ተገቢውን መመሪያ እና ምክር ይሰጣል ፡፡,አድቫይዘር
ለአዲስ ተማሪዎች አማካሪ ወይም አድቫይዘር ይመደባልን?,አዎ! እያንዳንዱ ተማሪ በዲፓርትመንት(አካዳሚክ) ክፍሉ ውስጥ ለአንድ ሰራተኛ አባል ይመደባል። የተመደበ አማካሪ(አድቫይዘር) ለተማሪው ለትምህርቱ እና ለሌሎች ማህበራዊ ጉዳዮች በማስተዋል ፣ በቅንነት እና በጥብቅ ተገቢውን መመሪያ እና ምክር ይሰጣል ፡፡,አድቫይዘር
አዲስ ተማሪዎች ኣድቫይዘር ኣላቸው?,አዎ! እያንዳንዱ ተማሪ በዲፓርትመንት(አካዳሚክ) ክፍሉ ውስጥ ለአንድ ሰራተኛ አባል ይመደባል። የተመደበ አማካሪ(አድቫይዘር) ለተማሪው ለትምህርቱ እና ለሌሎች ማህበራዊ ጉዳዮች በማስተዋል ፣ በቅንነት እና በጥብቅ ተገቢውን መመሪያ እና ምክር ይሰጣል ፡፡,አድቫይዘር
አድቫይዘሬን እንዴት ማግኝት አችላለሁ,መጀመርያ ከተገናኙ ብኅላ ተማሪዎች ከአማካሪዎቻቸው ወይም ኣድቫይዘራቸው እየተነጋገሩ የሚገናኙበት ክፍለ ጊዜ መወሰን ይችላሉ።,አድቫይዘር መገናኘት
አማካሪየን ወይም አድቫይዘሬን የምንገናኝበት መቼ ነው,መጀመርያ ከተገናኙ ብኅላ ተማሪዎች ከአማካሪዎቻቸው ወይም ኣድቫይዘራቸው እየተነጋገሩ የሚገናኙበት ክፍለ ጊዜ መወሰን ይችላሉ።,አድቫይዘር መገናኘት
እንዴት ነው ከአድቫይዘሬ ምንገናኘው,መጀመርያ ከተገናኙ ብኅላ ተማሪዎች ከአማካሪዎቻቸው ወይም ኣድቫይዘራቸው እየተነጋገሩ የሚገናኙበት ክፍለ ጊዜ መወሰን ይችላሉ።,አድቫይዘር መገናኘት
ከመጀምርያ ግንኙነት ብኅላ አድቫይዘሬን አንዴት ማግኘት አችላለሁ,ተማሪዎች ከአማካሪዎቻቸው ወይም ኣድቫይዘራቸው እየተነጋገሩ የሚገናኙበት ክፍለ ጊዜ መወሰን ይችላሉ።,አድቫይዘር መገናኘት
ከአድቫይዘሬን ምን ያህል መገናኘት ኣለብን,ተማሪዎች ከአማካሪዎቻቸው ወይም ኣድቫይዘራቸው እየተነጋገሩ የሚገናኙበት ክፍለ ጊዜ መወሰን ይችላሉ።,አድቫይዘር መገናኘት
አድቫይዘሬን መቀየር እችላለሁ?,ተማሪዎች በዩኒቨርሲቲ ውስጥ የመመሪያ እና የምክር አገልግሎት ማግኘት ይችላሉ፡፡ የአማካሪዎቻቸው(አድቫይዘራቸው) ከሌለ ወይም ለውጥ በፈለግቡት ጊዜ ወደ የዲፓርትመንት ሃላፊ ማሳወቅ ይኖርባችዋል። እናም የነበረው አድቫይዘር የተማሪዎች ሪኮርድን በትክክል መስጠት ይኖርበታል ፡፡,አድቫይዘር መቀየር
አድቫይዘሬን ላገኘው ካልቻልኩ ምን ማረግ ኣለብኝ,ተማሪዎች በዩኒቨርሲቲ ውስጥ የመመሪያ እና የምክር አገልግሎት ማግኘት ይችላሉ፡፡ የአማካሪዎቻቸው(አድቫይዘራቸው) ከሌለ ወይም ለውጥ በፈለግቡት ጊዜ ወደ የዲፓርትመንት ሃላፊ ማሳወቅ ይኖርባችዋል። እናም የነበረው አድቫይዘር የተማሪዎች ሪኮርድን በትክክል መስጠት ይኖርበታል ፡፡,አድቫይዘር መቀየር
አድቫይዘሬን ልያግዘኝ ካልቻለ ምን ማድረግ እችላለሁ?,ተማሪዎች በዩኒቨርሲቲ ውስጥ የመመሪያ እና የምክር አገልግሎት ማግኘት ይችላሉ፡፡ የአማካሪዎቻቸው(አድቫይዘራቸው) ከሌለ ወይም ለውጥ በፈለግቡት ጊዜ ወደ የዲፓርትመንት ሃላፊ ማሳወቅ ይኖርባችዋል። እናም የነበረው አድቫይዘር የተማሪዎች ሪኮርድን በትክክል መስጠት ይኖርበታል ፡፡,አድቫይዘር መቀየር
መቼ ነው የስራ ሰዓት ወይም ኦፊስ ክፍት የሚሆነው?,የስራ ሰዓቶች ከሰኞ እስከ ዓርብ፣ ጥዋት ከ 2:30-6:30 ከሰዓት ደሞ ከ 8:30-11:30 ነው። ቅዳሜ እንደአስፈላጊነቱ ሁኖ ግን ግዴታ ኣደለም።,የስራ ሰዓት
የስራ ሰዓቶች ንገረኝ,የስራ ሰዓቶች ከሰኞ እስከ ዓርብ፣ ጥዋት ከ 2:30-6:30 ከሰዓት ደሞ ከ 8:30-11:30 ነው። ቅዳሜ እንደአስፈላጊነቱ ሁኖ ግን ግዴታ ኣደለም።,የስራ ሰዓት
የቢሮ ሰዓት መቼ ነው?,የስራ ሰዓቶች ከሰኞ እስከ ዓርብ፣ ጥዋት ከ 2:30-6:30 ከሰዓት ደሞ ከ 8:30-11:30 ነው። ቅዳሜ እንደአስፈላጊነቱ ሁኖ ግን ግዴታ ኣደለም።,የስራ ሰዓት
ኤል ኤች ሩም ማለት ምን ማለት ነው,በደረጃዎች የተደረደረ ተማሪዎች ለሚቀመጡበት እና ለትምህርት የተሰራ አዳራሽ ማለት ነው። ,ጠቅላላ እውቀት
ኤል ኤች ሃል ማለት ምን ማለት ነው,ተማሪዎች በደረጃዎች የተደረደረ  ለሚቀመጡበት እና ለትምህርት የተሰራ ልዩ ክፍል ነው። ,ጠቅላላ እውቀት
የግል አስተማሪ መቕጠር ይቻላልን?,አዎ! ትችላላቹ። የሚያጠናቹ ካገኛቹ ደስተኛ ነው ዩኒቨርስቲው።,የግል አስተማሪ
በሰሚስተር ስንት ሰዓት ነው ሚፈቀደው?,የመደበኛ(ሬጉላር) ተማሪዎች ቢያንስ የECTS 25 ወይም የክሪዲት ሰዓታት(ሃወርስ) 15 መሆን አለባቸው በእያንዳንዱ ሴሚስተር። በትምህርቱ ካታሎግ / በስርአተ ትምህርት ውስጥ ካልተገለጸ በስተቀር ከፍተኛው ጭነት(ማክሲማም ሎድ) ከ 32 ECTS ወይም ከ 19 ክሬዲት ሰዓታት መብለጥ የለበትም ፡፡,ክሬድት ሃወር
በሰሚስተር ስንት ሰዓት ነው መውሰድ የሚቻለው?,የመደበኛ(ሬጉላር) ተማሪዎች ቢያንስ የECTS 25 ወይም የክሪዲት ሰዓታት(ሃወርስ) 15 መሆን አለባቸው በእያንዳንዱ ሴሚስተር። በትምህርቱ ካታሎግ / በስርአተ ትምህርት ውስጥ ካልተገለጸ በስተቀር ከፍተኛው ጭነት(ማክሲማም ሎድ) ከ 32 ECTS ወይም ከ 19 ክሬዲት ሰዓታት መብለጥ የለበትም ፡፡,ክሬድት ሃወር
በሰሚስተር ስንት ሰዓት ነው መማር የሚቻለው?,የመደበኛ(ሬጉላር) ተማሪዎች ቢያንስ የECTS 25 ወይም የክሪዲት ሰዓታት(ሃወርስ) 15 መሆን አለባቸው በእያንዳንዱ ሴሚስተር። በትምህርቱ ካታሎግ / በስርአተ ትምህርት ውስጥ ካልተገለጸ በስተቀር ከፍተኛው ጭነት(ማክሲማም ሎድ) ከ 32 ECTS ወይም ከ 19 ክሬዲት ሰዓታት መብለጥ የለበትም ፡፡,ክሬድት ሃወር
በትምህርት በጣም እየተቸገርኩ ነው፤ ሚረዳኝ ማግኘት እችላለሁ?,አዎ! ከአድቫይዘራቹ በይበልጥ መነጋገር ትችላላቹ፤ እናም ከአስተማሪዎቻቹ፣ከዲፓርትመንት ኅላፊም መመካከር ትችላላቹ። ,ሚረዳ መፈለግ
በትምህርት በጣም እየተቸገርኩ ነው፤ ሚያግዘኝ ማግኘት እችላለሁ?,አዎ! ከአድቫይዘራቹ በይበልጥ መነጋገር ትችላላቹ፤ እናም ከአስተማሪዎቻቹ፣ከዲፓርትመንት ኅላፊም መመካከር ትችላላቹ። ,ሚረዳ መፈለግ
በትምህርት በጣም ከተቸገርኩ የሚረዳኝ ማግኘት እችላለሁ?,አዎ! ከአድቫይዘራቹ በይበልጥ መነጋገር ትችላላቹ፤ እናም ከአስተማሪዎቻቹ፣ከዲፓርትመንት ኅላፊም መመካከር ትችላላቹ። ,ሚረዳ መፈለግ
ፕሪ ኢንጂነሪንግ ማለት ምን ማለት ነው,ቅድመ ምህንድስና ተማሪዎችን፣ መሠረታዊ የምህንድስና ትምህርቶችን እንዲወስዱ እና ትምህርቷቸው ከጨረሱ በኋላ ተማሪዎች ለዲፓርትመንት ያላቸውን ፍላጎት ለመመርመር እንዲረዳቸው የሚረዳ የኢንጂነሪንግ ቅድመ ዝግጅት ክፍል ነው፡፡ በተጨማሪ ኢንጂነሪንግ ከማድረግዎ በፊት መወሰድ ያለበት ጥናት ወይም ትምህርቶች ማለት ነው ፡፡,ጠቅላላ እውቀት
ቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) ማለት ምን ማለት ነው,ቅድመ ምህንድስና ተማሪዎችን፣ መሠረታዊ የምህንድስና ትምህርቶችን እንዲወስዱ እና ትምህርቷቸው ከጨረሱ በኋላ ተማሪዎች ለዲፓርትመንት ያላቸውን ፍላጎት ለመመርመር እንዲረዳቸው የሚረዳ የኢንጂነሪንግ ቅድመ ዝግጅት ክፍል ነው፡፡ በተጨማሪ ኢንጂነሪንግ ከማድረግዎ በፊት መወሰድ ያለበት ጥናት ወይም ትምህርቶች ማለት ነው ፡፡,ጠቅላላ እውቀት
